rhca_hostChampionFitnessWin,rhca_parasiteChampionFitnessWin,oe_championFitnessWin,rhca_hostChampionFitnessLose,rhca_parasiteChampionFitnessLose,oe_championFitnessLose,rhca_hostChampionFitnessTie,rhca_parasiteChampionFitnessTie,oe_championFitnessTie
-275.81791452991433,139.009951997721,3083.8090000000007,-770.6543944444445,146.94227255716763,2974.2438461538454,4.266666666666788,199.9046005301888,3210.7
-264.3451794871794,145.56305230703262,3230.5313333333334,-907.6844444444446,155.18567378117334,3026.04358974359,73.86666666666642,164.17867521367526,2601.8
-198.13689743589745,150.56595387651217,3531.63,-1043.4755944444444,165.26681500421037,2989.4320512820514,-584.0833333333339,178.93499840738974,3011.0
-75.47928205128227,147.54287609522157,3840.867333333335,-1334.5188444444452,182.466444317226,2821.5723076923077,-1242.0333333333335,193.69132160110422,3420.2
41.18931623931623,138.67748816190038,4103.35,-1572.472222222222,198.2159843870259,2603.4166666666665,-3649.256666666668,323.33874006884474,5975.0
129.0928547008551,130.22950072058637,4163.651,-1752.4736333333335,211.26328598368568,2497.75641025641,-6056.48,452.9861585365854,8529.8
156.02001709401716,125.83627024536814,4269.3358333333335,-1862.4884333333332,219.48771436116016,2430.4907692307697,-5746.006666666668,410.75199241996626,8597.0
112.0552478632482,126.52681889264466,4403.778666666666,-2001.9775777777772,228.4386714209845,2391.750769230769,-5435.533333333335,368.5178263033472,8664.2
178.4783675213673,126.19265137314906,4583.4664999999995,-2197.258033333332,234.84478832720572,2351.746923076923,-5889.783333333331,419.4314777511566,9035.8
247.63435897435906,123.67089879569113,4795.996666666667,-2353.195166666666,239.39212383288384,2242.25641025641,-6344.033333333334,470.34512919896645,9407.4
331.5674615384612,120.54573456644393,4991.561499999999,-2421.669344444445,242.26742680447103,2198.933846153847,-6452.416666666666,443.93400550795593,9670.3
334.47688888888894,121.90413443384027,5101.847333333332,-2445.190733333334,245.30321034581422,2222.244102564103,-6560.800000000001,417.52288181694547,9933.2
342.0196495726496,121.8183798147548,5241.801166666668,-2543.872500000001,250.2689655039876,2170.274102564102,-6548.033333333333,461.07545952874136,10008.7
351.6841196581196,121.37324026005258,5351.572666666665,-2706.03501111111,255.87569731734246,2137.744102564102,-6535.266666666667,504.6280372405373,10084.2
381.3332051282049,117.661778436231,5480.911666666668,-2838.8845277777777,260.92683508732824,2087.598717948718,-6367.453333333333,508.07716943378546,10081.5
517.8352478632478,108.55485209975345,5645.889333333335,-2899.1371555555547,266.2008184133507,1930.3958974358975,-6199.640000000001,511.52630162703383,10078.8
717.7828205128205,100.42633546665532,5769.121666666667,-2937.809955555555,272.21271319725184,1780.7074358974362,-7030.486666666667,556.3889864811172,11225.5
978.0482735042737,91.61594115258804,5819.206666666668,-3001.113733333334,278.2060598253087,1663.5061538461532,-7861.333333333334,601.2516713352007,12372.2
1161.8626923076927,88.1644014386872,5859.154833333334,-3080.7883166666657,289.1274220078039,1537.1330769230767,-8601.02,641.4424614845939,12252.8
1322.7637606837604,91.09542024735103,5856.496666666668,-3051.9914444444435,297.7137285247334,1476.0666666666662,-9340.706666666669,681.6332516339869,12133.4
1462.151581196581,88.96810782993457,5846.376666666667,-2949.0992444444446,301.71837349825427,1384.512564102564,-9266.560000000001,611.4574664602683,12401.4
1604.7969572649577,85.17027334033949,5814.968666666667,-2803.5277000000006,296.9540538687037,1336.486153846154,-9192.413333333334,541.2816812865497,12669.4
1712.900487179487,80.9074453249984,5851.531666666667,-2676.1230999999984,288.4205587474895,1257.4648717948721,-8674.556666666667,544.0484545979476,12903.4
1823.941367521367,77.27602254917421,6000.139999999999,-2723.3890000000006,286.1044738708703,1162.373333333333,-8156.699999999999,546.8152279093455,13137.4
1900.9152991452988,78.2868086070393,6184.182500000001,-2903.133138888888,292.4227865800213,1175.0076923076924,-7529.573333333334,504.2118976613043,12362.1
1892.4979658119667,83.44023470934323,6437.687666666668,-3135.682122222221,303.5031057985254,1308.0369230769227,-6902.446666666668,461.6085674132631,11586.8
1836.360393162393,87.21767540090812,6679.509833333334,-3347.2119555555546,318.98165061615396,1468.993333333333,-7274.106666666668,457.014776236977,11585.7
1801.5110427350423,93.14648327112364,6848.767999999998,-3547.909733333333,333.754689516846,1625.353846153846,-7645.766666666667,452.42098506069095,11584.6
1816.9820427350426,95.65930264669096,7003.449499999999,-3792.534077777776,347.5780150570972,1616.5325641025643,-7750.3,486.5495949966562,11651.8
1816.808974358974,98.90101045234017,7118.958333333333,-4063.195,357.39943540626126,1619.7564102564102,-7854.833333333333,520.6782049326214,11719.0
1806.3683675213676,104.71299655964151,7361.947166666667,-4254.279933333334,370.2750394908055,1497.8048717948718,-7692.49,515.2150799099197,11728.0
1800.5711452991452,109.28161573857327,7615.665333333335,-4389.031755555555,382.37348325568365,1341.3682051282046,-7530.146666666666,509.7519548872181,11737.0
1799.5442307692313,114.17180852305172,7839.321333333335,-4419.024177777778,390.36525743581086,1183.8012820512818,-7855.6866666666665,513.6709271340114,11809.8
