winnerIndex,seed,turns,crystalWin,unitWin,co_generations,co_sumChampionHostFindGen,co_championHostFitnesses,co_sumChampionParasiteFindGen,co_championParasiteFitnesses,oe_generations,oe_sumChampionHostFindGen,oe_championFitnesses
,,,,,39.0,,-522.0333333333333,,145.5,429.0,,2978.0
,,,,,37.0,,-540.0,,82.4,373.0,,2203.0
,,,,,37.0,,-45.333333333333336,,48.45454545454545,263.0,,5084.0
,,,,,33.0,,-9865.833333333334,,495.65,301.0,,13942.0
,,,,,31.0,,-10426.666666666666,,557.1818181818181,301.0,,13988.0
,,,,,33.0,,-10557.333333333334,,586.5555555555555,306.0,,12058.0
,,,,,32.0,,-10214.666666666666,,562.4,353.0,,12898.0
,,,,,31.0,,-10276.166666666666,,691.125,344.0,,12278.0
,,,,,32.0,,-8393.0,,607.7777777777778,358.0,,11993.0
,,,,,33.0,,-10510.0,,619.4444444444445,332.0,,13650.0
,,,,,36.0,,-10303.833333333334,,767.8125,344.0,,15370.0
,,,,,38.0,,-11741.666666666666,,619.2105263157895,335.0,,15460.0
,,,,,37.0,,-11760.5,,694.5833333333334,346.0,,15950.0
,,,,,38.0,,-13132.333333333334,,765.2777777777778,338.0,,16125.0
,,,,,34.0,,-14370.833333333334,,860.2777777777778,353.0,,17365.0
,,,,,37.0,,-14606.5,,959.6875,396.0,,18235.0
,,,,,37.0,,-12762.333333333334,,836.3888888888889,345.0,,18915.0
,,,,,37.0,,-16754.666666666668,,1024.4117647058824,363.0,,17995.0
,,,,,35.0,,-13155.0,,774.4736842105264,348.0,,18075.0
,,,,,36.0,,-16431.5,,817.3809523809524,348.0,,17875.0
,,,,,37.0,,-14586.0,,830.2777777777778,390.0,,17875.0
,,,,,37.0,,-14831.833333333334,,837.2222222222222,383.0,,17875.0
,,,,,36.0,,-15229.0,,933.0555555555555,368.0,,17895.0
,,,,,37.0,,-12585.5,,836.1904761904761,365.0,,17755.0
,,,,,37.0,,-14631.833333333334,,891.1764705882352,357.0,,17755.0
,,,,,36.0,,-14151.5,,934.1666666666666,371.0,,17755.0
,,,,,37.0,,-12542.5,,763.0434782608696,366.0,,17755.0
,,,,,36.0,,-12571.5,,835.0,356.0,,17755.0
,,,,,35.0,,-13149.333333333334,,1001.3888888888889,367.0,,17755.0
,,,,,37.0,,-14853.166666666666,,845.2777777777778,357.0,,17755.0
,,,,,39.0,,-14463.0,,872.0588235294117,369.0,,18975.0
,,,,,37.0,,-14633.0,,921.3157894736842,372.0,,17825.0
,,,,,36.0,,-14488.5,,811.1904761904761,379.0,,17995.0
,,,,,38.0,,-14434.0,,785.2272727272727,363.0,,17965.0
,,,,,41.0,,-15278.833333333334,,897.6315789473684,370.0,,18025.0
,,,,,39.0,,-14604.0,,812.1428571428571,375.0,,17935.0
,,,,,37.0,,-14958.666666666666,,996.5625,375.0,,17995.0
,,,,,43.0,,-14803.666666666666,,810.2380952380952,385.0,,17995.0
,,,,,42.0,,-14712.0,,894.2105263157895,400.0,,17950.0
,,,,,39.0,,-14287.666666666666,,819.4444444444445,436.0,,17890.0
,,,,,40.0,,-14549.833333333334,,925.2777777777778,424.0,,17800.0
,,,,,41.0,,-14449.833333333334,,821.1111111111111,408.0,,17920.0
,,,,,41.0,,-14323.833333333334,,778.9473684210526,410.0,,18600.0
,,,,,42.0,,-12921.5,,811.1111111111111,405.0,,17680.0
,,,,,42.0,,-14311.666666666666,,863.2352941176471,400.0,,17680.0
,,,,,43.0,,-14654.833333333334,,872.9411764705883,421.0,,17680.0
,,,,,103.0,,0.0,,0.0,436.0,,17680.0
2,539486552019,44,True,False,16.0,909.0,1677.5,953.0,63.0,109.0,1952.0,2050.0
,,,,,19.0,,2902.5,,18.0,59.0,,1600.0
,,,,,55.0,,-25.833333333333332,,90.5,54.0,,2485.0
,,,,,45.0,,817.8333333333334,,1.875,660.0,,1805.0
,,,,,46.0,,-691.8333333333334,,129.52380952380952,774.0,,2600.0
,,,,,47.0,,2913.0,,42.54545454545455,636.0,,1950.0
,,,,,49.0,,2478.0666666666666,,0.20588235294117646,646.0,,505.0
,,,,,42.0,,3150.8333333333335,,-38.955555555555556,494.0,,-1018.0
,,,,,41.0,,3443.9666666666667,,-51.484848484848484,504.0,,-1798.0
,,,,,42.0,,5837.7,,-102.5,511.0,,-2578.0
,,,,,40.0,,5245.633333333333,,-104.53846153846153,585.0,,-3368.0
,,,,,36.0,,4115.866666666667,,-89.33333333333333,600.0,,-3018.0
,,,,,44.0,,4361.333333333333,,-86.28205128205128,530.0,,-1714.0
,,,,,43.0,,4442.0,,-91.86,581.0,,-3343.0
,,,,,46.0,,4500.666666666667,,-78.26666666666667,585.0,,-2668.0
,,,,,48.0,,3358.0,,-19.647058823529413,583.0,,-1828.0
,,,,,51.0,,1128.6666666666667,,8.037037037037036,499.0,,-498.0
,,,,,46.0,,1876.0,,41.32,524.0,,1012.0
,,,,,45.0,,7508.5,,-69.075,473.0,,846.0
,,,,,46.0,,8239.5,,-183.15555555555557,566.0,,-5240.0
,,,,,41.0,,18643.5,,-178.41176470588235,546.0,,-5647.0
,,,,,66.0,,60000.0,,-388.54545454545456,621.0,,-16091.0
1,1288796232468,74,False,True,47.0,1830.0,768.8333333333334,2067.0,14.583333333333334,2031.0,3771.0,2320.0
,,,,,38.0,,463.1666666666667,,67.72727272727273,1101.0,,1160.0
,,,,,25.0,,67.5,,52.857142857142854,958.0,,1160.0
,,,,,24.0,,176.0,,25.161290322580644,554.0,,1880.0
,,,,,25.0,,-1276.8,,218.63636363636363,444.0,,3537.0
,,,,,24.0,,735.6666666666666,,236.25,390.0,,3477.0
,,,,,23.0,,-1068.0,,176.21052631578948,437.0,,5348.0
,,,,,21.0,,-2105.6666666666665,,219.4814814814815,395.0,,5923.0
,,,,,17.0,,-4503.0,,228.7058823529412,544.0,,3733.0
,,,,,29.0,,-3118.0,,164.2941176470588,70.0,,4443.0
,,,,,58.0,,-4339.0,,160.1578947368421,573.0,,3118.0
