rhca_hostChampionFindGen,rhca_parasiteChampionFindGen,rhcaPortfolio_hostChampionFindGen,rhcaPortfolio_parasiteChampionFindGen
36.528846153846146,36.5389423076923,13.521634615384611,13.51634615384615
36.71249999999999,36.71461538461538,13.648461538461536,13.640576923076924
36.843942307692316,36.838461538461544,13.744423076923074,13.732403846153842
37.06807692307692,37.059230769230766,13.813461538461542,13.794230769230772
37.386442307692306,37.380576923076916,13.911153846153848,13.890288461538459
37.78173076923079,37.778846153846175,14.024038461538462,14.006730769230769
38.162788461538454,38.162788461538454,14.139711538461537,14.13903846153846
38.49192307692308,38.49192307692308,14.22653846153846,14.244615384615384
38.71192307692307,38.709519230769224,14.357211538461542,14.387596153846156
39.0126923076923,39.00980769230769,14.559999999999995,14.597692307692306
39.30288461538461,39.30288461538461,14.716346153846153,14.742788461538462
39.50499999999999,39.50730769230768,14.81961538461539,14.82615384615385
39.70230769230771,39.70740384615386,14.873557692307685,14.872211538461531
39.965576923076924,39.96384615384615,15.027307692307694,15.022307692307693
40.282403846153855,40.28038461538462,15.266538461538461,15.25923076923077
40.64423076923075,40.64230769230768,15.478846153846161,15.475000000000007
40.912403846153865,40.94798076923079,15.669423076923078,15.663846153846155
41.18538461538461,41.27461538461538,15.798461538461535,15.792307692307686
41.50000000000001,41.72423076923077,15.969134615384613,15.969615384615382
41.86807692307691,42.228846153846135,16.205,16.208846153846153
42.22884615384615,42.73749999999999,16.457692307692305,16.467307692307692
42.58250000000001,43.258846153846164,16.77326923076922,16.77788461538461
42.89365384615385,43.75682692307692,17.052403846153847,17.053461538461537
43.156153846153856,44.29076923076923,17.418461538461546,17.414615384615388
43.31884615384614,44.9191346153846,17.867211538461547,17.858846153846162
43.30192307692305,45.73269230769229,18.353846153846156,18.484615384615388
42.597692307692306,46.7801923076923,18.675384615384612,19.4939423076923
40.65230769230767,48.055384615384625,18.666538461538455,21.953461538461564
36.97048076923074,49.809326923076924,18.141250000000003,27.316153846153874
31.360384615384646,52.2178846153846,17.001346153846164,35.832692307692255
24.484615384615424,55.470192307692294,15.621153846153849,45.96586538461533
17.862692307692328,58.71384615384615,14.32653846153847,56.416538461538444
13.909903846153854,60.94259615384613,13.653076923076926,62.37894230769229
12.903846153846153,61.57692307692308,13.471153846153847,64.15384615384616
12.903846153846153,61.57692307692308,13.471153846153847,64.15384615384616

