rhca_hostChampionFitnessWin,rhca_parasiteChampionFitnessWin,rhcaPortfolio_hostChampionFitnessWin,rhcaPortfolio_parasiteChampionFitnessWin,rhca_hostChampionFitnessLose,rhca_parasiteChampionFitnessLose,rhcaPortfolio_hostChampionFitnessLose,rhcaPortfolio_parasiteChampionFitnessLose,rhca_hostChampionFitnessTie,rhca_parasiteChampionFitnessTie,rhcaPortfolio_hostChampionFitnessTie,rhcaPortfolio_parasiteChampionFitnessTie
0.0,0.0,485.6487500000003,306.99435177784835,4131.14658333332,234.7494174438982,0.0,0.0,Infinity,-Infinity,-Infinity,Infinity
0.0,0.0,735.7191666666668,209.43741448209676,1819.9968333333236,188.22983416696334,0.0,0.0,Infinity,-Infinity,-Infinity,Infinity
0.0,0.0,902.6399999999994,185.41532000123652,868.359166666668,168.12607043054265,0.0,0.0,Infinity,-Infinity,-Infinity,Infinity
0.0,0.0,739.8886666666654,230.35318168209338,1097.987000000001,160.66320537825058,0.0,0.0,Infinity,-Infinity,-Infinity,Infinity
0.0,0.0,627.5879166666682,272.4983961435449,1075.2680833333343,159.3182877336003,0.0,0.0,Infinity,-Infinity,-Infinity,Infinity
0.0,0.0,586.0708333333323,270.69185292395014,933.7481666666672,157.14947147755004,0.0,0.0,Infinity,-Infinity,-Infinity,Infinity
0.0,0.0,599.4470000000001,251.34500177226704,868.2045833333332,154.80463476874,0.0,0.0,Infinity,-Infinity,-Infinity,Infinity
0.0,0.0,617.3466666666673,215.27311835241346,938.9333333333334,158.15188131313124,0.0,0.0,Infinity,-Infinity,-Infinity,Infinity
0.0,0.0,680.6085833333341,220.8532193538646,1211.2712499999984,155.02105008306762,0.0,0.0,Infinity,-Infinity,-Infinity,Infinity
0.0,0.0,742.9521666666642,247.9719429347826,1683.642499999999,123.26400247873471,0.0,0.0,Infinity,-Infinity,-Infinity,Infinity
0.0,0.0,643.9911666666685,289.7110144927535,1953.958666666665,97.21273991228074,0.0,0.0,Infinity,-Infinity,-Infinity,Infinity
0.0,0.0,452.0283333333341,271.2907035296061,1513.159666666666,108.75815870927326,0.0,0.0,Infinity,-Infinity,-Infinity,Infinity
0.0,0.0,-96.64374999999745,256.1628057093541,1599.0883333333295,115.81048981829582,0.0,0.0,Infinity,-Infinity,-Infinity,Infinity
0.0,0.0,-640.5016666666681,234.91589724099455,2148.2696666666707,117.38122211779451,0.0,0.0,Infinity,-Infinity,-Infinity,Infinity
0.0,0.0,-856.5595833333301,198.19403198439443,2721.57458333333,112.65982936507923,0.0,0.0,Infinity,-Infinity,-Infinity,Infinity
0.0,0.0,-332.90999999999735,154.3851122225048,2219.005666666665,107.69369246031741,0.0,0.0,Infinity,-Infinity,-Infinity,Infinity
0.0,0.0,115.61291666666534,121.54157719114797,1605.8388333333344,100.54706244066607,0.0,0.0,Infinity,-Infinity,-Infinity,Infinity
