rhca_hostChampionFitness,rhca_parasiteChampionFitness,rhcaPortfolio_hostChampionFitness,rhcaPortfolio_parasiteChampionFitness
17389.637445512824,-348.33638952525905,-14590.81458012819,1099.1107486369774
17661.19278205129,-356.9308929661331,-15027.618974358968,1128.5013472677267
18024.10232371795,-367.0681958946988,-15415.685711538457,1152.486597740878
18392.222307692304,-376.86768937394896,-15767.171858974356,1175.6286829795813
18673.312339743596,-383.7704283183972,-16107.749038461534,1193.9205902900233
18987.498820512814,-387.7028688252215,-16482.321628205125,1225.570242672739
19256.64371794872,-393.1022036832846,-16858.852676282055,1254.9817352018313
19548.84958333332,-399.1699424236015,-17168.118814102567,1281.7756146782633
19899.866426282057,-405.3993886968755,-17526.47957692308,1299.0256838228024
20343.865897435895,-413.5620433559019,-17979.461217948723,1324.7885402174363
20901.544967948717,-422.8031883363956,-18451.061365384616,1348.179997246293
21371.09977564103,-430.8529311182015,-18932.45320512821,1368.2937013615815
21816.606012820506,-439.99077890978845,-19433.880810897426,1385.2851890665384
22173.91624358975,-448.63979216010773,-19941.929089743593,1428.8037585177271
22593.42009615385,-458.3597203143226,-20471.052179487182,1488.1443127266348
23173.440769230772,-472.99457834886977,-21063.539512820527,1560.2956129357017
23853.07772435898,-490.01310477990995,-21693.006397435904,1621.5141622836577
24568.81746153846,-502.6308084365133,-22356.556564102564,1672.8354984393213
25379.52538782051,-513.7048667392156,-23028.13075961539,1726.5503646637867
26495.067852564098,-528.4458138375799,-23789.342692307706,1811.9483857522644
28172.155996794856,-546.8863271895971,-24651.910391025634,1910.5319640524967
30599.891487179502,-568.5636860411089,-25846.18528205129,2016.4188894314477
34334.53230769233,-592.0077026095861,-27569.543842948737,2159.942807082094
39437.63232692303,-621.4776084142225,-29721.01662179486,2311.6021589489305
45401.93756410252,-655.780422670763,-31932.623173076892,2454.189997042869
51389.09649999998,-685.9352198485465,-34106.97129487178,2605.91557466101
55334.587291666656,-700.5740493554167,-35191.27401923076,2689.8096331294346
56601.897115384614,-699.8604485781882,-35496.7673076923,2718.665239433768
56601.897115384614,-699.8604485781882,-35496.7673076923,2718.665239433768

