rhca_hostChampionFitnessWin,rhca_parasiteChampionFitnessWin,oe_championFitnessWin,rhca_hostChampionFitnessLose,rhca_parasiteChampionFitnessLose,oe_championFitnessLose,rhca_hostChampionFitnessTie,rhca_parasiteChampionFitnessTie,oe_championFitnessTie
-5481.9692,524.4224326944461,12269.88468085106,-9771.437368794324,770.9455131888943,7803.034000000002,NaN,NaN,NaN
-5694.149733333333,433.6607801364063,12624.326170212762,-10036.99481560284,788.796801537622,7928.388000000002,NaN,NaN,NaN
-6073.814633333333,436.1824365669178,13022.287234042558,-10315.831117021276,806.8385148722895,7966.206999999999,NaN,NaN,NaN
-6409.439066666664,466.06722680478623,13482.148936170215,-10657.49765957447,833.7994470159106,7934.128,NaN,NaN,NaN
-6716.794833333333,487.5619564294969,13875.61010638298,-11017.774556737586,861.2279703348934,8126.670000000001,NaN,NaN,NaN
-6826.767999999999,513.6415799654563,14199.167021276595,-11355.543304964542,882.1836592012478,8398.011999999999,NaN,NaN,NaN
-6805.773433333333,556.2298540993409,14497.533936170212,-11651.299599290784,897.0865927393294,8569.405999999999,NaN,NaN,NaN
-6742.683733333333,602.4465897317943,14784.656170212767,-11930.579021276593,917.2244643341305,8595.104000000001,NaN,NaN,NaN
-6664.419033333334,639.4518005879474,15043.572021276594,-12141.891595744679,940.9020033027622,8620.442000000001,NaN,NaN,NaN
-6586.1663333333345,720.7676782255545,15222.929787234045,-12374.968971631202,966.7069694991785,8498.890000000001,NaN,NaN,NaN
-6570.370366666667,760.0460479129747,15372.065638297874,-12618.898574468089,994.7002107924644,8485.433,NaN,NaN,NaN
-6559.938399999999,796.6444060850055,15556.732765957446,-12895.76371631205,1028.3773184460638,8559.196,NaN,NaN,NaN
-6193.399266666665,755.8525947162923,15745.125212765957,-13228.453421985818,1049.8884399058213,8566.929,NaN,NaN,NaN
-5537.205999999999,651.3788029654463,15954.850425531915,-13584.16479432624,1063.6539341258424,8503.011999999999,NaN,NaN,NaN
-5003.808333333334,542.2344652912652,16185.70744680851,-13964.696808510644,1076.8631663486844,8160.95,NaN,NaN,NaN
-4513.02933333333,445.9719751483452,16464.089361702114,-14237.281418439714,1081.1561905526703,7714.244000000001,NaN,NaN,NaN
-3875.391166666666,434.47840440318424,16797.248191489358,-14518.123117021276,1097.9384783552707,7385.098,NaN,NaN,NaN
-3355.2189999999973,456.1529331170785,17191.778085106384,-14778.584822695033,1117.8739430508053,7229.395999999998,NaN,NaN,NaN
-2763.5968333333285,550.104689663327,17612.543297872347,-15089.981219858155,1135.2388534516867,6631.654999999994,NaN,NaN,NaN
-1801.8066666666587,625.2714705903792,18044.555319148938,-15509.775815602843,1160.588997033705,5915.759999999998,NaN,NaN,NaN
-863.4881666666613,501.35477135463907,18395.54361702128,-16002.962840425535,1196.3902200127525,5465.602000000001,NaN,NaN,NaN
-34.044000000004964,363.28046093273576,18739.74255319148,-16507.98643262412,1238.618933018832,5036.904000000007,NaN,NaN,NaN
521.4786666666678,295.7353451040582,19091.732765957455,-16949.837003546094,1286.0050192064236,4526.491,NaN,NaN,NaN
766.0253333333322,242.1302077643308,19527.80170212766,-17340.819432624117,1328.3736834905733,3438.2080000000014,NaN,NaN,NaN
1073.0333333333317,189.9429872773585,19999.384042553193,-17749.63865248227,1354.674443788409,2282.620000000003,NaN,NaN,NaN
1306.2493333333339,162.89690357340962,20515.783829787244,-18280.823907801412,1402.0551809725835,1398.631999999997,NaN,NaN,NaN
2057.5896666666704,150.12623382389944,21066.365425531916,-18754.293730496454,1449.9592468711087,584.9299999999979,NaN,NaN,NaN
3357.6039999999966,158.04874318752786,21713.789361702125,-19300.450085106382,1509.6772848887213,-25.559999999997853,NaN,NaN,NaN
4659.417666666663,162.49797387246065,22607.327234042557,-19877.718280141846,1586.2106744538023,-639.2499999999985,NaN,NaN,NaN
6455.286666666673,138.19868964514572,23885.515957446813,-20606.953546099292,1686.2221890563205,-1246.1400000000006,NaN,NaN,NaN
8490.48433333333,102.69170410677403,25790.78989361702,-21346.461170212766,1807.7358871104504,-1743.6260000000009,NaN,NaN,NaN
11418.428666666674,61.37981068855821,28485.271063829812,-22362.305929078026,1945.7401164534247,-2190.7240000000047,NaN,NaN,NaN
15232.972500000033,18.29172164069492,33278.34840425535,-23667.90048936171,2066.356727491122,-3068.281000000023,NaN,NaN,NaN
20621.2963333333,5.5591170116750614,39584.93106382976,-25641.48396453898,2191.512592988168,-5973.4479999999985,NaN,NaN,NaN
26667.568333333278,5.886350980085536,46359.24308510635,-28030.61154255316,2351.915701585074,-9092.199999999988,NaN,NaN,NaN
34584.781333333296,31.271175671872754,52387.589787234014,-30253.072241134745,2465.8930211662155,-12188.05999999998,NaN,NaN,NaN
43986.415666666646,106.6918808653063,54984.693510638295,-31584.02122340425,2539.678898452041,-14039.95,NaN,NaN,NaN
49435.6,174.29280971194973,55407.436170212764,-31778.995035460986,2548.009749612825,-14074.9,NaN,NaN,NaN
49435.6,174.29280971194973,55407.436170212764,-31778.995035460986,2548.0097496128246,-14074.9,NaN,NaN,NaN

