"winnerIndex","seed","turns","crystalWin","unitWin","co_generations","co_championHostFindGen","co_championHostFitnesses","co_championParasiteFindGen","co_championParasiteFitnesses","oe_generations","oe_championHostFindGen","oe_championFitnesses"
"","","","","","36.0","36.0","1238.1666666666667","36.0","116.0","385.0","67.0","2155.0"
"","","","","","36.0","36.0","439.3333333333333","36.0","29.285714285714285","415.0","25.0","185.0"
"","","","","","36.0","36.0","-8684.5","36.0","479.44444444444446","401.0","16.0","11830.0"
"","","","","","36.0","36.0","-8807.5","36.0","528.1818181818181","425.0","51.0","11950.0"
"","","","","","39.0","39.0","-8337.5","39.0","649.5238095238095","401.0","34.0","12070.0"
"","","","","","42.0","42.0","-8332.5","42.0","554.0","424.0","154.0","11760.0"
"","","","","","41.0","41.0","-8932.0","41.0","532.0588235294117","490.0","44.0","10055.0"
"","","","","","45.0","45.0","-9397.833333333334","45.0","697.4285714285714","509.0","9.0","10659.0"
"","","","","","46.0","46.0","-10513.833333333334","46.0","711.6666666666666","500.0","157.0","11999.0"
"","","","","","47.0","47.0","-10008.0","47.0","631.5555555555555","563.0","123.0","13490.0"
"","","","","","55.0","55.0","-3755.3333333333335","55.0","624.1818181818181","559.0","444.0","12922.0"
"","","","","","83.0","83.0","-49120.4","83.0","3157.8947368421054","599.0","12.0","5602.0"
"","","","","","","","","","","578.0","1.0","60000.0"
"2","573977359309","40","True","False","25.0","25.0","823.1666666666666","25.0","17.8","1451.0","1.0","2240.0"
"","","","","","22.0","22.0","-117.16666666666667","22.0","100.71428571428571","503.0","7.0","1160.0"
"","","","","","16.0","16.0","812.3333333333334","16.0","11.129032258064516","382.0","9.0","1260.0"
"","","","","","14.0","14.0","799.1666666666666","14.0","54.75","367.0","20.0","690.0"
"","","","","","10.0","10.0","-611.6666666666666","10.0","109.58333333333333","57.0","11.0","1815.0"
"","","","","","16.0","16.0","-1503.8333333333333","16.0","104.25","295.0","7.0","2455.0"
"","","","","","10.0","10.0","-3470.8333333333335","10.0","364.4117647058824","281.0","193.0","3515.0"
"","","","","","19.0","19.0","-2452.5","19.0","236.0","299.0","42.0","3440.0"
"","","","","","10.0","10.0","-6040.333333333333","10.0","325.7368421052632","292.0","144.0","5479.0"
"","","","","","13.0","13.0","-4756.5","13.0","330.7","299.0","11.0","5629.0"
"","","","","","39.0","39.0","-5690.5","39.0","356.25925925925924","43.0","12.0","7919.0"
"","","","","","37.0","37.0","-4489.666666666667","37.0","311.11764705882354","378.0","7.0","6039.0"
"","","","","","35.0","35.0","-4619.4","35.0","382.0","367.0","347.0","8087.0"
"","","","","","34.0","34.0","-4214.533333333334","34.0","316.75","344.0","17.0","8772.0"
"","","","","","37.0","37.0","-4508.0","37.0","465.8666666666667","348.0","301.0","8945.0"
"","","","","","38.0","38.0","-8259.6","38.0","569.3333333333334","350.0","13.0","9765.0"
"","","","","","38.0","38.0","7168.2","38.0","-167.32432432432432","654.0","10.0","10914.0"
"","","","","","38.0","38.0","11659.666666666666","38.0","29.863636363636363","558.0","26.0","32.0"
"","","","","","37.0","37.0","8200.333333333334","37.0","-45.977777777777774","661.0","155.0","-3058.0"
"","","","","","88.0","1.0","60000.0","88.0","-124.54761904761905","460.0","18.0","-4352.0"
"1","798693382024","73","True","False","27.0","27.0","683.8333333333334","27.0","61.8421052631579","1375.0","1.0","2010.0"
"","","","","","26.0","26.0","-149.16666666666666","26.0","98.5","713.0","14.0","1410.0"
"","","","","","20.0","20.0","-288.8333333333333","20.0","70.625","571.0","13.0","1140.0"
"","","","","","15.0","15.0","732.9","15.0","47.407407407407405","83.0","6.0","1875.0"
"","","","","","22.0","22.0","423.1666666666667","22.0","65.625","42.0","19.0","1875.0"
"","","","","","34.0","34.0","-609.9666666666667","34.0","159.58333333333334","417.0","246.0","1250.0"
"","","","","","33.0","33.0","-222.16666666666666","33.0","82.41379310344827","344.0","68.0","1790.0"
"","","","","","35.0","35.0","-872.3333333333334","35.0","101.25","339.0","18.0","1215.0"
"","","","","","27.0","27.0","1580.5","27.0","-3.4285714285714284","370.0","12.0","1255.0"
"","","","","","31.0","31.0","-13.666666666666666","31.0","80.66666666666667","334.0","314.0","1024.0"
"","","","","","28.0","28.0","4249.0","28.0","31.91304347826087","332.0","171.0","1779.0"
"","","","","","33.0","33.0","1184.5","33.0","41.958333333333336","344.0","125.0","1937.0"
"","","","","","32.0","32.0","2798.0","32.0","69.71428571428571","330.0","106.0","1682.0"
"","","","","","36.0","36.0","-385.5","36.0","97.31818181818181","350.0","31.0","791.0"
