"winnerIndex","seed","turns","crystalWin","unitWin","co_generations","co_sumChampionHostFindGen","co_sumChampionParasiteFindGen","oe_generations","oe_sumChampionHostFindGen"
"","","","","","33.0","","","375.0",""
"","","","","","36.0","","","423.0",""
"","","","","","37.0","","","414.0",""
"","","","","","41.0","","","488.0",""
"","","","","","39.0","","","481.0",""
"","","","","","36.0","","","425.0",""
"","","","","","39.0","","","415.0",""
"","","","","","38.0","","","467.0",""
"","","","","","38.0","","","459.0",""
"","","","","","39.0","","","451.0",""
"","","","","","38.0","","","445.0",""
"","","","","","41.0","","","433.0",""
"","","","","","44.0","","","445.0",""
"","","","","","48.0","","","425.0",""
"","","","","","53.0","","","466.0",""
"","","","","","","","","522.0",""
"1","1092984201364","42","False","True","26.0","770.0","930.0","99.0","1272.0"
"","","","","","28.0","","","53.0",""
"","","","","","50.0","","","571.0",""
"","","","","","44.0","","","522.0",""
"","","","","","39.0","","","536.0",""
"","","","","","34.0","","","465.0",""
"","","","","","32.0","","","329.0",""
"","","","","","37.0","","","338.0",""
"","","","","","38.0","","","453.0",""
"","","","","","35.0","","","438.0",""
"","","","","","35.0","","","404.0",""
"","","","","","36.0","","","429.0",""
"","","","","","35.0","","","423.0",""
"","","","","","41.0","","","438.0",""
"","","","","","42.0","","","421.0",""
"","","","","","44.0","","","444.0",""
"","","","","","38.0","","","461.0",""
"","","","","","45.0","","","408.0",""
"","","","","","50.0","","","597.0",""
"","","","","","41.0","","","569.0",""
"","","","","","160.0","","","501.0",""
"2","1285529336680","50","False","True","23.0","931.0","1026.0","98.0","3705.0"
"","","","","","21.0","","","59.0",""
"","","","","","49.0","","","738.0",""
"","","","","","44.0","","","593.0",""
"","","","","","38.0","","","526.0",""
"","","","","","33.0","","","345.0",""
"","","","","","31.0","","","343.0",""
"","","","","","33.0","","","369.0",""
"","","","","","35.0","","","368.0",""
"","","","","","36.0","","","423.0",""
"","","","","","34.0","","","453.0",""
"","","","","","38.0","","","399.0",""
"","","","","","35.0","","","439.0",""
"","","","","","36.0","","","374.0",""
"","","","","","37.0","","","358.0",""
"","","","","","40.0","","","439.0",""
"","","","","","41.0","","","452.0",""
"","","","","","44.0","","","505.0",""
"","","","","","42.0","","","473.0",""
"","","","","","44.0","","","558.0",""
"","","","","","45.0","","","612.0",""
"","","","","","47.0","","","558.0",""
"","","","","","53.0","","","699.0",""
"","","","","","52.0","","","1190.0",""
"","","","","","95.0","","","1345.0",""
"2","438556596577","57","False","True","30.0","1067.0","1126.0","1636.0","6132.0"
"","","","","","21.0","","","794.0",""
"","","","","","26.0","","","546.0",""
"","","","","","10.0","","","79.0",""
"","","","","","20.0","","","419.0",""
"","","","","","19.0","","","456.0",""
"","","","","","14.0","","","479.0",""
"","","","","","37.0","","","87.0",""
"","","","","","38.0","","","469.0",""
"","","","","","37.0","","","466.0",""
"","","","","","38.0","","","450.0",""
"","","","","","38.0","","","464.0",""
"","","","","","38.0","","","429.0",""
"","","","","","37.0","","","419.0",""
"","","","","","38.0","","","436.0",""
"","","","","","40.0","","","459.0",""
"","","","","","41.0","","","498.0",""
"","","","","","42.0","","","526.0",""
"","","","","","43.0","","","506.0",""
"","","","","","46.0","","","497.0",""
"","","","","","48.0","","","619.0",""
"","","","","","54.0","","","641.0",""
"","","","","","57.0","","","590.0",""
"","","","","","57.0","","","917.0",""
"","","","","","58.0","","","1119.0",""
"","","","","","61.0","","","1299.0",""
"","","","","","61.0","","","1466.0",""
"","","","","","77.0","","","1435.0",""
"","","","","","","","","3861.0",""
"1","410821295014","53","False","True","23.0","1075.0","1075.0","99.0","1803.0"
"","","","","","34.0","","","67.0",""
"","","","","","27.0","","","74.0",""
"","","","","","44.0","","","628.0",""
"","","","","","36.0","","","432.0",""
"","","","","","33.0","","","402.0",""
"","","","","","34.0","","","334.0",""
"","","","","","37.0","","","352.0",""
"","","","","","37.0","","","374.0",""
"","","","","","39.0","","","454.0",""
"","","","","","32.0","","","415.0",""
"","","","","","36.0","","","423.0",""
"","","","","","36.0","","","475.0",""
"","","","","","38.0","","","496.0",""
"","","","","","42.0","","","500.0",""
"","","","","","43.0","","","513.0",""
"","","","","","44.0","","","551.0",""
"","","","","","47.0","","","595.0",""
"","","","","","48.0","","","598.0",""
"","","","","","46.0","","","585.0",""
"","","","","","49.0","","","651.0",""
"","","","","","53.0","","","585.0",""
"","","","","","52.0","","","570.0",""
"","","","","","52.0","","","552.0",""
"","","","","","54.0","","","583.0",""
"","","","","","59.0","","","635.0",""
"","","","","","","","","622.0",""
"1","203968123043","59","True","False","31.0","956.0","955.0","1635.0","2335.0"
"","","","","","27.0","","","801.0",""
"","","","","","21.0","","","631.0",""
"","","","","","13.0","","","466.0",""
"","","","","","17.0","","","111.0",""
"","","","","","15.0","","","481.0",""
"","","","","","17.0","","","365.0",""
"","","","","","18.0","","","439.0",""
"","","","","","23.0","","","52.0",""
"","","","","","35.0","","","431.0",""
"","","","","","36.0","","","395.0",""
"","","","","","34.0","","","403.0",""
"","","","","","34.0","","","373.0",""
"","","","","","33.0","","","383.0",""
"","","","","","36.0","","","371.0",""
"","","","","","36.0","","","503.0",""
"","","","","","37.0","","","459.0",""
"","","","","","36.0","","","506.0",""
"","","","","","37.0","","","527.0",""
"","","","","","38.0","","","586.0",""
"","","","","","39.0","","","560.0",""
"","","","","","42.0","","","628.0",""
"","","","","","42.0","","","642.0",""
"","","","","","39.0","","","559.0",""
"","","","","","40.0","","","655.0",""
"","","","","","45.0","","","581.0",""
"","","","","","43.0","","","548.0",""
"","","","","","43.0","","","673.0",""
"","","","","","49.0","","","801.0",""
"","","","","","","","","739.0",""
"2","1248473474631","66","True","False","32.0","1237.0","1281.0","1305.0","2366.0"
"","","","","","22.0","","","94.0",""
"","","","","","28.0","","","139.0",""
"","","","","","46.0","","","438.0",""
"","","","","","37.0","","","418.0",""
"","","","","","33.0","","","395.0",""
"","","","","","34.0","","","392.0",""
"","","","","","38.0","","","389.0",""
"","","","","","38.0","","","459.0",""
"","","","","","37.0","","","455.0",""
"","","","","","38.0","","","404.0",""
"","","","","","40.0","","","502.0",""
"","","","","","40.0","","","446.0",""
"","","","","","38.0","","","440.0",""
"","","","","","40.0","","","449.0",""
"","","","","","37.0","","","478.0",""
"","","","","","38.0","","","449.0",""
"","","","","","43.0","","","425.0",""
"","","","","","40.0","","","424.0",""
"","","","","","38.0","","","469.0",""
"","","","","","40.0","","","413.0",""
"","","","","","44.0","","","555.0",""
"","","","","","42.0","","","464.0",""
"","","","","","39.0","","","500.0",""
"","","","","","38.0","","","501.0",""
"","","","","","38.0","","","494.0",""
"","","","","","38.0","","","478.0",""
"","","","","","42.0","","","464.0",""
"","","","","","41.0","","","492.0",""
"","","","","","38.0","","","456.0",""
"","","","","","40.0","","","517.0",""
"","","","","","50.0","","","635.0",""
"","","","","","55.0","","","612.0",""
"1","859186970744","67","False","True","32.0","1237.0","1236.0","1623.0","3136.0"
"","","","","","24.0","","","785.0",""
"","","","","","22.0","","","594.0",""
"","","","","","12.0","","","533.0",""
"","","","","","18.0","","","501.0",""
"","","","","","24.0","","","54.0",""
"","","","","","12.0","","","552.0",""
"","","","","","17.0","","","624.0",""
"","","","","","14.0","","","485.0",""
"","","","","","16.0","","","409.0",""
"","","","","","38.0","","","43.0",""
"","","","","","36.0","","","363.0",""
"","","","","","37.0","","","394.0",""
"","","","","","36.0","","","360.0",""
"","","","","","37.0","","","488.0",""
"","","","","","42.0","","","472.0",""
"","","","","","42.0","","","469.0",""
"","","","","","43.0","","","449.0",""
"","","","","","44.0","","","408.0",""
"","","","","","42.0","","","421.0",""
"","","","","","43.0","","","419.0",""
"","","","","","42.0","","","411.0",""
"","","","","","43.0","","","419.0",""
"","","","","","46.0","","","430.0",""
"","","","","","45.0","","","573.0",""
"","","","","","45.0","","","585.0",""
"","","","","","48.0","","","529.0",""
"","","","","","47.0","","","558.0",""
"","","","","","48.0","","","474.0",""
"","","","","","58.0","","","482.0",""
"","","","","","56.0","","","583.0",""
"","","","","","62.0","","","691.0",""
"","","","","","66.0","","","880.0",""
"","","","","","","","","873.0",""
"1","921191395188","50","False","True","17.0","921.0","1089.0","103.0","2053.0"
"","","","","","28.0","","","52.0",""
"","","","","","24.0","","","81.0",""
"","","","","","17.0","","","69.0",""
"","","","","","45.0","","","523.0",""
"","","","","","42.0","","","389.0",""
"","","","","","38.0","","","359.0",""
"","","","","","37.0","","","406.0",""
"","","","","","36.0","","","384.0",""
"","","","","","36.0","","","405.0",""
"","","","","","36.0","","","418.0",""
"","","","","","35.0","","","507.0",""
"","","","","","35.0","","","422.0",""
"","","","","","36.0","","","400.0",""
"","","","","","36.0","","","401.0",""
"","","","","","36.0","","","445.0",""
"","","","","","38.0","","","424.0",""
"","","","","","40.0","","","417.0",""
"","","","","","44.0","","","451.0",""
"","","","","","45.0","","","397.0",""
"","","","","","47.0","","","498.0",""
"","","","","","51.0","","","496.0",""
"","","","","","60.0","","","570.0",""
"","","","","","61.0","","","782.0",""
"","","","","","169.0","","","971.0",""
"1","1217293196614","35","True","False","20.0","521.0","521.0","105.0","2398.0"
"","","","","","32.0","","","105.0",""
"","","","","","36.0","","","670.0",""
"","","","","","19.0","","","468.0",""
"","","","","","12.0","","","406.0",""
"","","","","","34.0","","","44.0",""
"","","","","","35.0","","","345.0",""
"","","","","","33.0","","","367.0",""
"","","","","","33.0","","","326.0",""
